time,hour,solar_kwh,consumption_kwh,surplus_kwh
2026-08-01 00:00:00,0,0.0,0.95,-0.95
2026-08-01 01:00:00,1,0.0,1.18,-1.18
2026-08-01 02:00:00,2,0.0,1.09,-1.09
2026-08-01 03:00:00,3,0.0,1.04,-1.04
2026-08-01 04:00:00,4,0.0,0.86,-0.86
2026-08-01 05:00:00,5,0.0,0.86,-0.86
2026-08-01 06:00:00,6,0.0,2.87,-2.87
2026-08-01 07:00:00,7,1.14,2.71,-1.57
2026-08-01 08:00:00,8,1.77,2.97,-1.2
2026-08-01 09:00:00,9,3.36,2.21,1.15
2026-08-01 10:00:00,10,3.27,0.87,2.39
2026-08-01 11:00:00,11,3.82,1.01,2.81
2026-08-01 12:00:00,12,4.15,0.92,3.23
2026-08-01 13:00:00,13,4.27,0.86,3.41
2026-08-01 14:00:00,14,3.41,0.95,2.46
2026-08-01 15:00:00,15,2.96,1.11,1.84
2026-08-01 16:00:00,16,1.9,1.01,0.89
2026-08-01 17:00:00,17,1.14,0.82,0.32
2026-08-01 18:00:00,18,0.0,2.17,-2.17
2026-08-01 19:00:00,19,0.0,2.07,-2.07
2026-08-01 20:00:00,20,0.0,2.95,-2.95
2026-08-01 21:00:00,21,0.0,2.97,-2.97
2026-08-01 22:00:00,22,0.0,2.81,-2.81
2026-08-01 23:00:00,23,0.0,0.92,-0.92
2026-08-02 00:00:00,0,0.0,0.84,-0.84
2026-08-02 01:00:00,1,0.0,1.07,-1.07
2026-08-02 02:00:00,2,0.0,0.98,-0.98
2026-08-02 03:00:00,3,0.0,0.85,-0.85
2026-08-02 04:00:00,4,0.0,1.0,-1.0
2026-08-02 05:00:00,5,0.0,0.81,-0.81
2026-08-02 06:00:00,6,0.0,2.26,-2.26
2026-08-02 07:00:00,7,1.16,2.31,-1.15
2026-08-02 08:00:00,8,2.14,2.55,-0.41
2026-08-02 09:00:00,9,2.67,2.97,-0.3
2026-08-02 10:00:00,10,4.04,1.18,2.86
2026-08-02 11:00:00,11,4.68,1.04,3.64
2026-08-02 12:00:00,12,4.88,0.84,4.05
2026-08-02 13:00:00,13,3.66,0.82,2.85
2026-08-02 14:00:00,14,3.45,0.96,2.5
2026-08-02 15:00:00,15,2.76,1.13,1.63
2026-08-02 16:00:00,16,2.02,0.91,1.11
2026-08-02 17:00:00,17,1.12,0.86,0.26
2026-08-02 18:00:00,18,0.0,2.07,-2.07
2026-08-02 19:00:00,19,0.0,2.99,-2.99
2026-08-02 20:00:00,20,0.0,2.77,-2.77
2026-08-02 21:00:00,21,0.0,2.2,-2.2
2026-08-02 22:00:00,22,0.0,2.01,-2.01
2026-08-02 23:00:00,23,0.0,1.13,-1.13
2026-08-03 00:00:00,0,0.0,1.08,-1.08
2026-08-03 01:00:00,1,0.0,1.09,-1.09
2026-08-03 02:00:00,2,0.0,1.11,-1.11
2026-08-03 03:00:00,3,0.0,0.83,-0.83
2026-08-03 04:00:00,4,0.0,0.94,-0.94
2026-08-03 05:00:00,5,0.0,0.85,-0.85
