time,temp,cloud_cover,radiation,hour,solar_kwh,consumption_kwh,surplus_kwh
2026-07-01 00:00:00,21.7,100,0.0,0,0.0,0.95,-0.95
2026-07-01 01:00:00,21.3,99,0.0,1,0.0,1.18,-1.18
2026-07-01 02:00:00,20.8,100,0.0,2,0.0,1.09,-1.09
2026-07-01 03:00:00,20.5,100,0.0,3,0.0,1.04,-1.04
2026-07-01 04:00:00,20.5,99,0.0,4,0.0,0.86,-0.86
2026-07-01 05:00:00,21.2,100,0.0,5,0.0,0.86,-0.86
2026-07-01 06:00:00,21.3,100,3.0,6,0.02,2.06,-2.04
2026-07-01 07:00:00,21.6,100,53.0,7,0.26,2.87,-2.61
2026-07-01 08:00:00,22.1,100,115.0,8,0.58,2.6,-2.02
2026-07-01 09:00:00,23.2,100,197.0,9,0.99,2.71,-1.72
2026-07-01 10:00:00,24.1,100,270.0,10,1.35,0.81,0.54
2026-07-01 11:00:00,24.4,100,309.0,11,1.54,1.19,0.35
2026-07-01 12:00:00,24.1,100,221.0,12,1.1,1.13,-0.03
2026-07-01 13:00:00,24.6,100,271.0,13,1.36,0.88,0.48
2026-07-01 14:00:00,25.7,100,247.0,14,1.23,0.87,0.36
2026-07-01 15:00:00,25.6,94,215.0,15,1.08,0.87,0.21
2026-07-01 16:00:00,25.8,98,311.0,16,1.56,0.92,0.64
2026-07-01 17:00:00,25.1,100,262.0,17,1.31,1.01,0.3
2026-07-01 18:00:00,23.3,100,30.0,18,0.15,2.43,-2.28
2026-07-01 19:00:00,22.2,98,1.0,19,0.0,2.29,-2.29
2026-07-01 20:00:00,21.9,88,0.0,20,0.0,2.61,-2.61
2026-07-01 21:00:00,21.8,100,0.0,21,0.0,2.14,-2.14
2026-07-01 22:00:00,21.6,96,0.0,22,0.0,2.29,-2.29
2026-07-01 23:00:00,21.8,100,0.0,23,0.0,0.95,-0.95
2026-07-02 00:00:00,21.3,100,0.0,0,0.0,0.98,-0.98
2026-07-02 01:00:00,21.2,100,0.0,1,0.0,1.11,-1.11
2026-07-02 02:00:00,21.0,100,0.0,2,0.0,0.88,-0.88
2026-07-02 03:00:00,20.8,100,0.0,3,0.0,1.01,-1.01
2026-07-02 04:00:00,20.8,100,0.0,4,0.0,1.04,-1.04
2026-07-02 05:00:00,20.9,100,0.0,5,0.0,0.82,-0.82
2026-07-02 06:00:00,20.9,98,6.0,6,0.03,2.61,-2.58
2026-07-02 07:00:00,21.7,100,109.0,7,0.55,2.17,-1.62
2026-07-02 08:00:00,23.0,100,167.0,8,0.84,2.07,-1.23
2026-07-02 09:00:00,24.6,100,295.0,9,1.48,2.95,-1.47
2026-07-02 10:00:00,27.0,93,472.0,10,2.36,1.19,1.17
2026-07-02 11:00:00,27.8,100,643.0,11,3.22,1.12,2.1
2026-07-02 12:00:00,28.5,96,774.0,12,3.87,0.92,2.95
2026-07-02 13:00:00,28.9,100,814.0,13,4.07,0.84,3.23
2026-07-02 14:00:00,27.0,84,498.0,14,2.49,1.07,1.42
2026-07-02 15:00:00,27.7,83,393.0,15,1.96,0.98,0.98
2026-07-02 16:00:00,27.3,95,427.0,16,2.13,0.85,1.28
2026-07-02 17:00:00,26.4,98,211.0,17,1.06,1.0,0.06
2026-07-02 18:00:00,25.0,99,83.0,18,0.42,2.03,-1.61
2026-07-02 19:00:00,23.9,100,3.0,19,0.02,2.91,-2.89
2026-07-02 20:00:00,23.7,100,0.0,20,0.0,2.26,-2.26
2026-07-02 21:00:00,23.1,99,0.0,21,0.0,2.66,-2.66
2026-07-02 22:00:00,22.7,95,0.0,22,0.0,2.31,-2.31
2026-07-02 23:00:00,21.9,100,0.0,23,0.0,1.01,-1.01
2026-07-03 00:00:00,21.7,99,0.0,0,0.0,1.02,-1.02
2026-07-03 01:00:00,21.5,100,0.0,1,0.0,0.87,-0.87
2026-07-03 02:00:00,21.4,100,0.0,2,0.0,1.19,-1.19
2026-07-03 03:00:00,21.4,100,0.0,3,0.0,1.11,-1.11
2026-07-03 04:00:00,21.4,100,0.0,4,0.0,1.18,-1.18
2026-07-03 05:00:00,21.4,95,0.0,5,0.0,1.16,-1.16
2026-07-03 06:00:00,21.2,100,8.0,6,0.04,2.6,-2.56
2026-07-03 07:00:00,22.0,100,66.0,7,0.33,2.92,-2.59
2026-07-03 08:00:00,22.9,100,147.0,8,0.74,2.09,-1.35
2026-07-03 09:00:00,25.2,100,410.0,9,2.05,2.2,-0.15
2026-07-03 10:00:00,26.2,100,523.0,10,2.62,0.82,1.8
